_id,BNS_Section,IPC_Section,Chapter,Description
67c8bccfdcd2f83aa7d0f449,Sec. 1 (1)-(6),S. 1 - S. 5,Chapter I: Preliminary,"This section outlines the basic framework of the Bharatiya Nyaya Sanhita, including its official name, commencement date, and the geographical and jurisdictional areas where it applies. It determines who and what falls under its purview, such as Indian citizens and acts within India, setting the foundation for all subsequent provisions."
67c8bccfdcd2f83aa7d0f44a,Sec. 2 (1)-(39),S. 6 - S. 52A,Chapter I: Preliminary,"This section provides definitions for key terms used in the BNS, such as 'child' (under 18), 'gender' (including transgender), and 'movable property' (including intangible assets). It applies whenever legal interpretation requires clarity on these terms, ensuring consistent application across cases like theft or assault."
67c8bccfdcd2f83aa7d0f44b,Sec. 3 (1)-(9),"S. 6, 7, 27, 32, 34, 35-38",Chapter I: Preliminary,"This section offers general explanations for concepts within the BNS, such as joint liability or acts done with intent. It applies in situations where courts need to interpret how multiple offenders or specific circumstances affect liability, aiding in consistent judicial rulings."
67c8bccfdcd2f83aa7d0f44c,Sec. 4,S. 53,Chapter II: Of Punishments,"This section details punishments under the BNS, introducing community service for six petty offences like minor theft. It applies when courts sentence offenders for small crimes, aiming for rehabilitation rather than incarceration, reflecting a modern approach to justice."
67c8bccfdcd2f83aa7d0f44d,Sec. 5,S. 54 - S. 55A,Chapter II: Of Punishments,"This section governs the commutation of sentences, allowing reductions or alterations based on factors like good behavior or health. It applies when authorities review a convict’s sentence, offering leniency in cases where continued punishment may be unjust or unnecessary."
67c8bccfdcd2f83aa7d0f44e,Sec. 6,S. 57,Chapter II: Of Punishments,"This section standardizes fractions of punishment terms, reckoning life imprisonment as 20 years unless specified otherwise. It applies in sentencing to ensure clarity and consistency, particularly when calculating parole eligibility or partial terms for serious offences like murder."
67c8bccfdcd2f83aa7d0f44f,Sec. 7,S. 60,Chapter II: Of Punishments,"This section allows courts to impose rigorous (with hard labor) or simple imprisonment, or a combination. It applies when tailoring punishment to the crime’s severity, such as rigorous terms for violent offences and simple terms for minor infractions, based on judicial discretion."
67c8bccfdcd2f83aa7d0f450,Sec. 8 (1)-(7),S. 63 - S. 70,Chapter II: Of Punishments,"This section specifies fine amounts and consequences for non-payment, like additional imprisonment, with increased penalties. It applies when offenders fail to pay fines for crimes like theft or assault, ensuring financial penalties deter criminal behavior effectively."
67c8bccfdcd2f83aa7d0f451,Sec. 9 (1)-(2),S. 71,Chapter II: Of Punishments,"This section limits punishment for offences comprising multiple acts, capping it at the maximum for the gravest offence. It applies when a single act violates several laws, like theft and assault, preventing excessive sentencing for overlapping crimes."
67c8bccfdcd2f83aa7d0f452,Sec. 10,S. 72,Chapter II: Of Punishments,"This section addresses cases where a person is guilty of one of several offences but doubt exists about which. It applies in ambiguous situations, like a fight causing unclear injury origins, allowing courts to impose a common punishment across possible offences."
67c8bccfdcd2f83aa7d0f453,Sec. 11,S. 73,Chapter II: Of Punishments,"This section regulates solitary confinement, setting conditions and limits on its use. It applies to severe offences like murder where isolation is deemed necessary, ensuring it’s used humanely and sparingly to avoid excessive psychological harm to prisoners."
67c8bccfdcd2f83aa7d0f454,Sec. 12,S. 74,Chapter II: Of Punishments,"This section imposes strict limits on solitary confinement duration, preventing prolonged isolation. It applies when courts sentence offenders to ensure confinement doesn’t exceed legal thresholds, protecting prisoners’ mental and physical well-being during punishment for serious crimes."
67c8bccfdcd2f83aa7d0f455,Sec. 13,S. 75,Chapter II: Of Punishments,"This section enhances punishment for repeat offenders of specific crimes like theft or assault after prior convictions. It applies to habitual criminals, increasing penalties to deter recidivism and protect society from those who persist in criminal behavior."
67c8bccfdcd2f83aa7d0f456,Sec. 14,S. 76,Chapter III: General Exceptions,"This section excuses acts done under legal obligation or mistaken belief of such duty due to a mistake of fact. It applies when someone, like a soldier, acts in good faith under orders or misapprehension, protecting them from liability."
67c8bccfdcd2f83aa7d0f457,Sec. 15,S. 77,Chapter III: General Exceptions,"This section exempts judges from liability for acts done judicially within their jurisdiction. It applies when a judge makes a ruling, even if controversial, ensuring they can perform duties without fear of prosecution, provided they act in good faith."
67c8bccfdcd2f83aa7d0f458,Sec. 16,S. 78,Chapter III: General Exceptions,"This section protects individuals acting under a court’s judgment or order, even if later deemed incorrect. It applies when someone enforces a court directive, like property seizure, shielding them from liability as long as they comply with the legal mandate."
67c8bccfdcd2f83aa7d0f459,Sec. 17,S. 79,Chapter III: General Exceptions,"This section excuses acts justified by law or believed to be justified due to a mistake of fact. It applies when someone, like a security guard, uses force thinking it’s legal, offering a defense if their belief was reasonable and in good faith."
67c8bccfdcd2f83aa7d0f45a,Sec. 18,S. 80,Chapter III: General Exceptions,"This section exempts accidental harm during lawful acts performed with due care. It applies in cases like a surgeon unintentionally causing injury during surgery, ensuring no liability if the act was legal and precautions were taken."
67c8bccfdcd2f83aa7d0f45b,Sec. 19,S. 81,Chapter III: General Exceptions,"This section justifies acts causing harm to prevent greater harm, without criminal intent. It applies in emergencies, like breaking a dam to stop a flood, where the act is necessary to avert a larger disaster, known as the doctrine of necessity."
67c8bccfdcd2f83aa7d0f45c,Sec. 20,S. 82,Chapter III: General Exceptions,"This section states children under seven cannot be criminally liable due to lacking intent capacity. It applies when a young child commits an act like theft, ensuring they aren’t punished as their age prevents understanding the consequences of their actions."
67c8bccfdcd2f83aa7d0f45d,Sec. 21,S. 83,Chapter III: General Exceptions,"This section excuses children aged seven to twelve if they lack sufficient maturity to understand their actions. It applies when a child steals but doesn’t grasp the wrongness, offering a defense based on their developmental stage and comprehension."
67c8bccfdcd2f83aa7d0f45e,Sec. 22,S. 84,Chapter III: General Exceptions,"This section exempts acts by persons of unsound mind unable to understand their actions’ nature or wrongness. It applies when someone with mental illness commits a crime, like assault, ensuring no liability if their condition impaired judgment at the time."
67c8bccfdcd2f83aa7d0f45f,Sec. 23,S. 85,Chapter III: General Exceptions,"This section defends acts by someone involuntarily intoxicated, unable to judge their actions. It applies when a person is drugged against their will and commits an offence, like vandalism, excusing them if intoxication negated their intent or awareness."
67c8bccfdcd2f83aa7d0f460,Sec. 24,S. 86,Chapter III: General Exceptions,"This section addresses offences requiring intent or knowledge committed by a voluntarily intoxicated person. It applies when someone drinks and assaults another; intoxication doesn’t excuse them but may affect intent assessment, holding them liable if intent is proven."
67c8bccfdcd2f83aa7d0f461,Sec. 25,S. 87,Chapter III: General Exceptions,"This section excuses acts not intended or known to cause death or grievous hurt, done with consent. It applies in situations like sports injuries where participants agree to risks, offering a defense if harm wasn’t anticipated or intended."
67c8bccfdcd2f83aa7d0f462,Sec. 26,S. 88,Chapter III: General Exceptions,"This section protects acts not intended to cause death, done in good faith with consent for someone’s benefit. It applies in medical procedures where a patient consents to surgery with risks, shielding the doctor if harm occurs despite good intentions."
67c8bccfdcd2f83aa7d0f463,Sec. 27,S. 89,Chapter III: General Exceptions,"This section allows acts in good faith for a child or person of unsound mind’s benefit, with consent from them or their guardian. It applies when a parent authorizes treatment for a child, protecting the actor from liability if done sincerely."
67c8bccfdcd2f83aa7d0f464,Sec. 28,S. 90,Chapter III: General Exceptions,"This section invalidates consent given under fear or misconception. It applies when someone is coerced into agreeing to an act, like sexual intercourse under a false promise, ensuring such consent doesn’t excuse the offender from liability."
67c8bccfdcd2f83aa7d0f465,Sec. 29,S. 91,Chapter III: General Exceptions,"This section excludes general exceptions for acts that are offences regardless of harm caused. It applies when consent is given for an illegal act, like drug trafficking, ensuring the act remains punishable despite agreement, maintaining legal integrity."
67c8bccfdcd2f83aa7d0f466,Sec. 30,S. 92,Chapter III: General Exceptions,"This section defends acts done in good faith for someone’s benefit without consent, in emergencies. It applies when a doctor operates on an unconscious patient to save their life, offering protection if consent couldn’t be obtained but the intent was benevolent."
67c8bccfdcd2f83aa7d0f467,Sec. 31,S. 93,Chapter III: General Exceptions,"This section protects communications made in good faith, even if harmful, without intent to harm. It applies when someone warns another of danger, like a health risk, ensuring they aren’t liable if the information unintentionally causes distress."
67c8bccfdcd2f83aa7d0f468,Sec. 32,S. 94,Chapter III: General Exceptions,"This section excuses acts compelled by threats of immediate death or serious harm, except for grave crimes. It applies when someone steals under duress, like a gunpoint threat, offering a defense if they had no choice but to comply."
67c8bccfdcd2f83aa7d0f469,Sec. 33,S. 95,Chapter III: General Exceptions,"This section exempts acts causing slight harm, avoiding prosecution for trivial matters. It applies to minor incidents, like accidentally bumping someone, reflecting the principle that the law doesn’t concern itself with trifles, keeping focus on serious offences."
67c8bccfdcd2f83aa7d0f46a,Sec. 34,S. 96,Chapter III: General Exceptions,"This section establishes the right to private defence, allowing force to protect oneself or others from imminent harm. It applies when someone repels an attacker, like in a robbery, justifying actions that would otherwise be criminal if necessary for safety."
67c8bccfdcd2f83aa7d0f46b,Sec. 35,S. 97,Chapter III: General Exceptions,"This section grants the right to defend one’s body or property, or that of others, against crimes like assault or theft. It applies when someone uses force to stop a burglar, ensuring legal protection if the response is proportionate to the threat."
67c8bccfdcd2f83aa7d0f46c,Sec. 36,S. 98,Chapter III: General Exceptions,"This section extends private defence to acts by those unable to understand their actions, like the mentally ill. It applies when someone defends against an attack by an intoxicated person, allowing protection regardless of the aggressor’s intent."
